CODENAME        OSARCH        CATEGORY                    PACKAGE                         VERSION                FILENAME                                                 MD5                                     
bionic          amd64         deluge                      deluge-common                   1.3.15                 deluge-common_1.3.15-1build1_all.deb                     2b07346ad1a82282c276c5fb5511a5fe        
bionic          arm64         deluge                      deluge-common                   1.3.15                 deluge-common_1.3.15-1build1_all.deb                     2b07346ad1a82282c276c5fb5511a5fe        
bionic          armhf         deluge                      deluge-common                   1.3.15                 deluge-common_1.3.15-1build1_all.deb                     2b07346ad1a82282c276c5fb5511a5fe        
buster          amd64         deluge                      deluge-common                   1.3.15                 deluge-common_1.3.15-1build1_all.deb                     d5dc378a80e6707c57851c7248d5ee44        
buster          arm64         deluge                      deluge-common                   1.3.15                 deluge-common_1.3.15-1build1_all.deb                     d5dc378a80e6707c57851c7248d5ee44        
buster          armhf         deluge                      deluge-common                   1.3.15                 deluge-common_1.3.15-1build1_all.deb                     d5dc378a80e6707c57851c7248d5ee44        
jessie          amd64         deluge                      deluge-common                   1.3.15                 deluge-common_1.3.15-1build1_all.deb                     e4bc5547bccbd01391b66978a62ec394        
jessie          armhf         deluge                      deluge-common                   1.3.15                 deluge-common_1.3.15-1build1_all.deb                     e608352c52e54b40004d3573d0381f4c        
stretch         amd64         deluge                      deluge-common                   1.3.15                 deluge-common_1.3.15-1build1_all.deb                     10fd5704969b925a50c03b6b00f591f1        
stretch         arm64         deluge                      deluge-common                   1.3.15                 deluge-common_1.3.15-1build1_all.deb                     10fd5704969b925a50c03b6b00f591f1        
stretch         armhf         deluge                      deluge-common                   1.3.15                 deluge-common_1.3.15-1build1_all.deb                     10fd5704969b925a50c03b6b00f591f1        
xenial          amd64         deluge                      deluge-common                   1.3.15                 deluge-common_1.3.15-1build1_all.deb                     6a4ea69a9a1a681454eb5fb03f888bdc        
xenial          arm64         deluge                      deluge-common                   1.3.15                 deluge-common_1.3.15-1build1_all.deb                     fc5084dd0659749c97743559d349be9a        
xenial          armhf         deluge                      deluge-common                   1.3.15                 deluge-common_1.3.15-1build1_all.deb                     9d4e36c61adc8f11f2ce8332ed94894e        
bionic          amd64         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      d6f4eed8d1b2fa66a797c1734f9f4041        
bionic          arm64         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      d6f4eed8d1b2fa66a797c1734f9f4041        
bionic          armhf         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      d6f4eed8d1b2fa66a797c1734f9f4041        
bullseye        amd64         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      ab91fdadf5454f2b7d2b83df65c02d25        
buster          amd64         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      cf39d35377286ec63239b4ea683c9ff1        
buster          arm64         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      cf39d35377286ec63239b4ea683c9ff1        
buster          armhf         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      cf39d35377286ec63239b4ea683c9ff1        
focal           amd64         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      0ce0d156570d9cde9cc2921f7ed46bd0        
focal           arm64         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      0ce0d156570d9cde9cc2921f7ed46bd0        
focal           armhf         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      0ce0d156570d9cde9cc2921f7ed46bd0        
jammy           amd64         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      6b5e29e9b82cce5f492525c1ee59766b        
stretch         amd64         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      6dac6f28207d19ab3d97fa7079057fb6        
stretch         arm64         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      6dac6f28207d19ab3d97fa7079057fb6        
stretch         armhf         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      6dac6f28207d19ab3d97fa7079057fb6        
xenial          amd64         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      293068e5af8317def8e2f7d453eda02e        
xenial          arm64         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      bba5bbcf1aedfdbd3bed8ecf5e79d88a        
xenial          armhf         deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      27cb341f2c90da7d776163de89b34d43        
bionic          amd64         deluge                      deluge-console                  1.3.15                 deluge-console_1.3.15-1build1_all.deb                    fbc80a9605f622fff9f58fbca28df1fe        
bionic          arm64         deluge                      deluge-console                  1.3.15                 deluge-console_1.3.15-1build1_all.deb                    fbc80a9605f622fff9f58fbca28df1fe        
bionic          armhf         deluge                      deluge-console                  1.3.15                 deluge-console_1.3.15-1build1_all.deb                    fbc80a9605f622fff9f58fbca28df1fe        
buster          amd64         deluge                      deluge-console                  1.3.15                 deluge-console_1.3.15-1build1_all.deb                    0dad57cc35c0e02e9d14e5b79a37fa3b        
buster          arm64         deluge                      deluge-console                  1.3.15                 deluge-console_1.3.15-1build1_all.deb                    0dad57cc35c0e02e9d14e5b79a37fa3b        
buster          armhf         deluge                      deluge-console                  1.3.15                 deluge-console_1.3.15-1build1_all.deb                    0dad57cc35c0e02e9d14e5b79a37fa3b        
jessie          amd64         deluge                      deluge-console                  1.3.15                 deluge-console_1.3.15-1build1_all.deb                    01e2886c4389df9ee71d9987ac5d86db        
jessie          armhf         deluge                      deluge-console                  1.3.15                 deluge-console_1.3.15-1build1_all.deb                    68883099a0b8953bd8d4a53eacedbea4        
stretch         amd64         deluge                      deluge-console                  1.3.15                 deluge-console_1.3.15-1build1_all.deb                    9a53078475ff2a71b6f0ac3871f072e7        
stretch         arm64         deluge                      deluge-console                  1.3.15                 deluge-console_1.3.15-1build1_all.deb                    9a53078475ff2a71b6f0ac3871f072e7        
stretch         armhf         deluge                      deluge-console                  1.3.15                 deluge-console_1.3.15-1build1_all.deb                    9a53078475ff2a71b6f0ac3871f072e7        
xenial          amd64         deluge                      deluge-console                  1.3.15                 deluge-console_1.3.15-1build1_all.deb                    b6146f90776fae547d0f607e2b66974b        
xenial          arm64         deluge                      deluge-console                  1.3.15                 deluge-console_1.3.15-1build1_all.deb                    36747c1b42b9736a6dab2e087b3ef77a        
xenial          armhf         deluge                      deluge-console                  1.3.15                 deluge-console_1.3.15-1build1_all.deb                    b204e6e8c9f1902f3cf23e24c42aa49c        
bionic          amd64         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     8814e9bfb98940976b4a6cb9c8b4fed9        
bionic          arm64         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     8814e9bfb98940976b4a6cb9c8b4fed9        
bionic          armhf         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     8814e9bfb98940976b4a6cb9c8b4fed9        
bullseye        amd64         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     7de0f8171e333aa651bafd961d524e12        
buster          amd64         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     fa3eff99e01ab90782c0f24c258687a2        
buster          arm64         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     fa3eff99e01ab90782c0f24c258687a2        
buster          armhf         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     fa3eff99e01ab90782c0f24c258687a2        
focal           amd64         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     87bfefa763f897820a94af84fe998016        
focal           arm64         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     87bfefa763f897820a94af84fe998016        
focal           armhf         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     87bfefa763f897820a94af84fe998016        
jammy           amd64         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     91a2fcd8fd0fcdc166005d55902dba28        
stretch         amd64         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     f7263f56399fb11026c6af56dd85d4c2        
stretch         arm64         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     f7263f56399fb11026c6af56dd85d4c2        
stretch         armhf         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     f7263f56399fb11026c6af56dd85d4c2        
xenial          amd64         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     35435c5894222e1dd9f45c652adb51b1        
xenial          arm64         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     7ce46eaa66f59ce946cd0f47c8e624ad        
xenial          armhf         deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     6409328446069aa546dcb8665a419bcd        
bionic          amd64         deluge                      deluge-gtk                      1.3.15                 deluge-gtk_1.3.15-1build1_all.deb                        58bc20641355ecce562f9f5db0bbad32        
bionic          arm64         deluge                      deluge-gtk                      1.3.15                 deluge-gtk_1.3.15-1build1_all.deb                        58bc20641355ecce562f9f5db0bbad32        
bionic          armhf         deluge                      deluge-gtk                      1.3.15                 deluge-gtk_1.3.15-1build1_all.deb                        58bc20641355ecce562f9f5db0bbad32        
buster          amd64         deluge                      deluge-gtk                      1.3.15                 deluge-gtk_1.3.15-1build1_all.deb                        b678e426b4bf77a7148db24db9aa0590        
buster          arm64         deluge                      deluge-gtk                      1.3.15                 deluge-gtk_1.3.15-1build1_all.deb                        b678e426b4bf77a7148db24db9aa0590        
buster          armhf         deluge                      deluge-gtk                      1.3.15                 deluge-gtk_1.3.15-1build1_all.deb                        b678e426b4bf77a7148db24db9aa0590        
jessie          amd64         deluge                      deluge-gtk                      1.3.15                 deluge-gtk_1.3.15-1build1_all.deb                        210cd9be40ea4e32cab4f0bd58e4607b        
jessie          armhf         deluge                      deluge-gtk                      1.3.15                 deluge-gtk_1.3.15-1build1_all.deb                        25e960127143347349305d3414c54267        
stretch         amd64         deluge                      deluge-gtk                      1.3.15                 deluge-gtk_1.3.15-1build1_all.deb                        a2f83b41812c0c41f91a1a30e81ea4d2        
stretch         arm64         deluge                      deluge-gtk                      1.3.15                 deluge-gtk_1.3.15-1build1_all.deb                        a2f83b41812c0c41f91a1a30e81ea4d2        
stretch         armhf         deluge                      deluge-gtk                      1.3.15                 deluge-gtk_1.3.15-1build1_all.deb                        a2f83b41812c0c41f91a1a30e81ea4d2        
xenial          amd64         deluge                      deluge-gtk                      1.3.15                 deluge-gtk_1.3.15-1build1_all.deb                        4c8ab1ebc8cd6be36d59c7197ffc69b3        
xenial          arm64         deluge                      deluge-gtk                      1.3.15                 deluge-gtk_1.3.15-1build1_all.deb                        33e0d7ccf92e00c10965332ec54b4257        
xenial          armhf         deluge                      deluge-gtk                      1.3.15                 deluge-gtk_1.3.15-1build1_all.deb                        8dce0f25c992bce720870814ffac04c3        
bionic          amd64         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         44f1a640947e2b58839f74d555fa5e99        
bionic          arm64         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         44f1a640947e2b58839f74d555fa5e99        
bionic          armhf         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         44f1a640947e2b58839f74d555fa5e99        
bullseye        amd64         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         5125636d5f2129d3eb83d697bf93eff6        
buster          amd64         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         5128647dbfcb3b2c7c7851b9ddd8020d        
buster          arm64         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         5128647dbfcb3b2c7c7851b9ddd8020d        
buster          armhf         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         5128647dbfcb3b2c7c7851b9ddd8020d        
focal           amd64         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         f78f6d7db7e9d9fb831e3bab1d01bbb4        
focal           arm64         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         f78f6d7db7e9d9fb831e3bab1d01bbb4        
focal           armhf         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         f78f6d7db7e9d9fb831e3bab1d01bbb4        
jammy           amd64         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         185464581dda0787eef4410222213c83        
stretch         amd64         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         48af24c3f6466f864519a7660ef798d4        
